name,stackSize,chaosValue,totalCost,rewardID,totalRevenue,profit,profitPerTrade,% ROI,profitMargin
Rebirth,27,4.0,108.0,2594,337.02,229.01999999999998,8.179285714285713,2.1205555555555553,0.677533873735282
Burning Blood,6,5.0,30.0,1993,75.0,45.0,6.428571428571429,1.5,0.5921052631578947
The Professor,4,7.0,28.0,25380,65.0,37.0,7.4,1.3214285714285714,0.5606060606060606
The Risk,3,3.0,9.0,1770,19.79,10.79,2.6975,1.198888888888889,0.518999518999519
The Life Thief,6,8.0,48.0,7070,98.53,50.53,7.218571428571429,1.0527083333333334,0.5076861247864966
The King's Heart,8,2.0,16.0,703,30.0,14.0,1.5555555555555556,0.875,0.45161290322580644
The Wolven King's Bite,8,9.83,78.64,1060,136.74,58.10000000000001,6.455555555555557,0.7388097660223806,0.4218092057499637
Nook's Crown,4,72.0,288.0,18473,495.34,207.33999999999997,41.467999999999996,0.7199305555555555,0.41773784099609135
The Betrayal,9,2.0,18.0,783,30.6,12.600000000000001,1.2600000000000002,0.7000000000000001,0.3987341772151899
Buried Treasure,3,4.0,12.0,18977,20.0,8.0,2.0,0.6666666666666666,0.38095238095238093
The Polymath,3,10.0,30.0,113,45.0,15.0,3.75,0.5,0.32608695652173914
The Mayor,5,23.0,115.0,23250,167.28,52.28,8.713333333333333,0.45460869565217393,0.31067268837651535
The Artist,11,8.0,88.0,2695,120.0,32.0,2.6666666666666665,0.36363636363636365,0.2644628099173554
The Queen,16,41.0,656.0,119,842.55,186.54999999999995,10.973529411764703,0.28437499999999993,0.22114871673285516
Humility,9,2.0,18.0,1388,23.0,5.0,0.5,0.2777777777777778,0.20833333333333334
The Iron Bard,9,202.21,1819.89,1711,2190.63,370.74,37.074,0.20371560918517054,0.16916176544398462
Hunter's Reward,3,56.0,168.0,1628,202.21,34.21000000000001,8.552500000000002,0.20363095238095244,0.1683480143693716
The Damned,6,82.55,495.29999999999995,7020,589.78,94.48000000000002,13.49714285714286,0.19075307894205537,0.15992416804902
The Soul,9,20.63,185.67,1335,219.06,33.390000000000015,3.3390000000000013,0.17983519146873495,0.15173134599654647
The World Eater,8,18.0,144.0,1360,168.51,24.50999999999999,2.7233333333333323,0.17020833333333327,0.14459323933691223
Immortal Resolve,6,78.29,469.74,518,539.23,69.49000000000001,9.927142857142858,0.1479328990505386,0.12863039816374508
Wealth and Power,11,76.0,836.0,2616,952.53,116.52999999999997,9.710833333333332,0.13938995215311,0.12220905477541344
The Dragon's Heart,11,67.45,741.95,2926,842.55,100.59999999999991,8.383333333333326,0.13558865152638305,0.11925789816845464
Pride of the First Ones,7,168.51,1179.57,4949,1314.38,134.81000000000017,16.85125000000002,0.11428740981883244,0.10248749410816659
Beauty Through Death,5,404.42,2022.1000000000001,4973,2193.92,171.81999999999994,28.636666666666656,0.08497106968003557,0.07828075738523496
The Enlightened,6,20.0,120.0,3023,130.0,10.0,1.4285714285714286,0.08333333333333333,0.07633587786259542
The Landing,5,15.0,75.0,2245,80.0,5.0,0.8333333333333334,0.06666666666666667,0.06172839506172839
The Immortal,10,505.53,5055.299999999999,636,5215.5,160.20000000000073,14.56363636363643,0.03168951397543188,0.03071024633374882
The Spark and the Flame,2,71.0,142.0,155,145.76,3.759999999999991,1.2533333333333303,0.026478873239436557,0.025620059961842405
The Doctor,8,1432.34,11458.72,607,11627.19,168.47000000000116,18.71888888888902,0.014702340226482641,0.014488067360440546
The Fiend,11,1044.76,11492.36,607,11627.19,134.82999999999993,11.235833333333327,0.011732142049152648,0.011595097775320142
The Nurse,8,183.06,1464.48,1476,1432.34,-32.1400000000001,-3.5711111111111222,-0.021946356385884477,-0.02242315152022556
The Demon,10,1516.59,15165.9,607,11627.19,-3538.709999999999,-321.700909090909,-0.23333333333333328,-0.3043216528109705
Etched in Blood,9,35.0,315.0,1060,136.74,-178.26,-17.826,-0.5659047619047619,-1.2941774357485116
Mawr Blaidd,16,10.0,160.0,25626,40.0,-120.0,-7.0588235294117645,-0.75,-2.926829268292683
The Scavenger,8,1.0,8.0,223,2.0,-6.0,-0.6666666666666666,-0.75,-2.0
Pride Before the Fall,8,16.0,128.0,703,30.0,-98.0,-10.88888888888889,-0.765625,-3.161290322580645
The Oath,6,1.0,6.0,397,1.0,-5.0,-0.7142857142857143,-0.8333333333333334,-2.5
The Visionary,6,1.0,6.0,760,1.0,-5.0,-0.7142857142857143,-0.8333333333333334,-2.5
The Army of Blood,6,1.0,6.0,2260,1.0,-5.0,-0.7142857142857143,-0.8333333333333334,-2.5
Rats,8,1.0,8.0,1016,1.0,-7.0,-0.7777777777777778,-0.875,-3.5
The Fathomless Depths,8,1.0,8.0,4765,1.0,-7.0,-0.7777777777777778,-0.875,-3.5
The Samurai's Eye,3,210.07,630.21,2302,50.0,-580.21,-145.0525,-0.920661366845972,-11.376666666666667
Seven Years Bad Luck,13,168.51,2190.63,81,0,-2190.63,-156.47357142857143,-1.0,-2190.63
