name,stackSize,chaosValue,totalCost,rewardID,totalRevenue,profit,profitPerTrade,% ROI
The Life Thief,6,5.0,30.0,7070,54.74,24.740000000000002,3.5342857142857147,1.8246666666666669
Burning Blood,6,16.0,96.0,1993,156.44,60.44,8.634285714285713,1.6295833333333332
The Artist,11,4.0,44.0,2695,70.0,26.0,2.1666666666666665,1.5909090909090908
Rebirth,27,5.0,135.0,2594,200.0,65.0,2.3214285714285716,1.4814814814814814
The Wolven King's Bite,8,7.0,56.0,1060,82.04,26.040000000000006,2.893333333333334,1.465
The King's Heart,8,4.45,35.6,703,50.0,14.399999999999999,1.5999999999999999,1.4044943820224718
Nook's Crown,4,110.0,440.0,18473,598.96,158.96000000000004,31.79200000000001,1.3612727272727274
Buried Treasure,3,2.0,6.0,18977,8.0,2.0,0.5,1.3333333333333333
The Landing,5,7.0,35.0,2245,44.89,9.89,1.6483333333333334,1.2825714285714285
The Damned,6,44.0,264.0,7020,337.99,73.99000000000001,10.570000000000002,1.2802651515151515
The Queen,16,35.0,560.0,119,705.18,145.17999999999995,8.539999999999997,1.25925
The Enlightened,6,20.0,120.0,3023,143.41,23.409999999999997,3.344285714285714,1.1950833333333333
The Soul,9,15.93,143.37,1335,169.89,26.519999999999982,2.6519999999999984,1.1849759363883656
Wealth and Power,11,63.1,694.1,2616,821.38,127.27999999999997,10.606666666666664,1.1833741535801758
The Iron Bard,9,95.0,855.0,1711,975.75,120.75,12.075,1.1412280701754387
Hunter's Reward,3,36.73,110.19,1628,125.0,14.810000000000002,3.7025000000000006,1.134404210908431
The World Eater,8,67.69,541.52,1360,611.16,69.63999999999999,7.737777777777776,1.1286009750332398
The Polymath,3,39.07,117.21000000000001,113,130.99,13.780000000000001,3.4450000000000003,1.1175667605153143
The Spark and the Flame,2,45.0,90.0,155,100.0,10.0,3.3333333333333335,1.1111111111111112
The Immortal,10,203.65,2036.5,636,2221.88,185.3800000000001,16.852727272727282,1.0910287257549718
Pride of the First Ones,7,115.0,805.0,4949,869.72,64.72000000000003,8.090000000000003,1.0803975155279504
Immortal Resolve,6,92.0,552.0,518,593.15,41.14999999999998,5.8785714285714255,1.0745471014492753
The Fiend,11,957.48,10532.28,607,11282.88,750.5999999999985,62.549999999999876,1.0712666203329193
The Dragon's Heart,11,77.0,847.0,2926,904.98,57.98000000000002,4.831666666666668,1.0684533648170011
Beauty Through Death,5,425.0,2125.0,4973,2233.64,108.63999999999987,18.106666666666644,1.051124705882353
The Doctor,8,1351.94,10815.52,607,11282.88,467.35999999999876,51.92888888888875,1.0432119768628785
The Nurse,8,164.39,1315.12,1476,1351.94,36.820000000000164,4.091111111111129,1.027997445100067
The Demon,10,1210.87,12108.699999999999,607,11282.88,-825.8199999999997,-75.07454545454543,0.9317994499822442
The Risk,3,4.0,12.0,1770,10.0,-2.0,-0.5,0.8333333333333334
Pride Before the Fall,8,15.25,122.0,703,50.0,-72.0,-8.0,0.4098360655737705
The Samurai's Eye,3,141.85,425.54999999999995,2302,51.77,-373.78,-93.445,0.1216543296909881
The Mayor,5,15.0,75.0,22243,0,-75.0,-12.5,0.0
Mawr Blaidd,16,5.0,80.0,-1,0,-80.0,-4.705882352941177,0.0
The Professor,4,5.0,20.0,22427,0,-20.0,-4.0,0.0
