name,stackSize,chaosValue,totalCost,rewardID,totalRevenue,profit,profitPerTrade,% ROI,profitMargin
Rebirth,27,4.0,108.0,2594,348.92,240.92000000000002,8.604285714285714,2.2307407407407407,0.6885002286236854
Burning Blood,6,5.0,30.0,1993,74.13,44.129999999999995,6.304285714285713,1.4709999999999999,0.587381871422867
The Professor,4,7.0,28.0,25380,65.0,37.0,7.4,1.3214285714285714,0.5606060606060606
The Life Thief,6,8.0,48.0,7070,99.96,51.959999999999994,7.422857142857142,1.0824999999999998,0.5146592709984151
The King's Heart,8,2.0,16.0,703,30.26,14.260000000000002,1.5844444444444445,0.8912500000000001,0.4561740243122201
Nook's Crown,4,72.0,288.0,18473,523.38,235.38,47.076,0.8172916666666666,0.44887295472748767
The Betrayal,9,2.0,18.0,783,30.0,12.0,1.2,0.6666666666666666,0.3870967741935484
Buried Treasure,3,4.0,12.0,18977,19.0,7.0,1.75,0.5833333333333334,0.35
The Wolven King's Bite,8,10.59,84.72,1060,130.0,45.28,5.0311111111111115,0.534466477809254,0.34564885496183206
The Mayor,5,22.0,110.0,23250,158.59,48.59,8.098333333333334,0.44172727272727275,0.3044676984773482
The Polymath,3,11.0,33.0,113,47.3,14.299999999999997,3.5749999999999993,0.43333333333333324,0.2960662525879917
The Queen,16,40.0,640.0,119,872.3,232.29999999999995,13.664705882352939,0.36296874999999995,0.26600251918012136
The Artist,11,8.0,88.0,2695,119.33,31.33,2.6108333333333333,0.35602272727272727,0.2603673231945483
Immortal Resolve,6,77.0,462.0,518,571.28,109.27999999999997,15.611428571428567,0.2365367965367965,0.19095547634025298
The World Eater,8,18.0,144.0,1360,174.46,30.460000000000008,3.3844444444444455,0.21152777777777784,0.17360082069987465
The Iron Bard,9,209.05,1881.45,1711,2269.29,387.8399999999999,38.78399999999999,0.2061388822450769,0.17083280109589521
The Damned,6,85.0,510.0,7020,610.61,100.61000000000001,14.372857142857145,0.19727450980392158,0.16450025342947305
The Landing,5,14.23,71.15,2245,84.71,13.559999999999988,2.259999999999998,0.1905832747716091,0.15820791039551965
The Dragon's Heart,11,67.0,737.0,2926,872.3,135.29999999999995,11.274999999999997,0.18358208955223873,0.1549295774647887
Hunter's Reward,3,55.0,165.0,1628,191.91,26.909999999999997,6.727499999999999,0.16309090909090906,0.139495101342595
The Soul,9,22.0,198.0,1335,226.8,28.80000000000001,2.8800000000000012,0.1454545454545455,0.12642669007901672
Wealth and Power,11,76.0,836.0,2616,956.39,120.38999999999999,10.032499999999999,0.1440071770334928,0.12574812772224483
Beauty Through Death,5,401.97,2009.8500000000001,4973,2272.01,262.1600000000001,43.69333333333335,0.1304375948453865,0.11533605219510695
Pride of the First Ones,7,174.77,1223.39,4949,1360.79,137.39999999999986,17.174999999999983,0.112310873883226,0.10089661401537672
The Enlightened,6,19.0,114.0,3023,121.02,7.019999999999996,1.0028571428571422,0.06157894736842102,0.0575315522045566
The Fiend,11,1048.62,11534.82,607,12212.2,677.380000000001,56.448333333333416,0.058724800213614176,0.05546294173517186
The Nurse,8,179.3,1434.4,1476,1485.54,51.13999999999987,5.682222222222208,0.03565253764640259,0.034402034254039496
The Immortal,10,524.31,5243.099999999999,636,5417.87,174.77000000000044,15.888181818181858,0.03333333333333342,0.03225211160260358
The Doctor,8,1485.54,11884.32,607,12212.2,327.880000000001,36.43111111111122,0.02758929412873442,0.02684636295156069
The Spark and the Flame,2,70.0,140.0,155,141.03,1.0300000000000011,0.3433333333333337,0.007357142857142865,0.007251989016404993
Humility,9,3.0,27.0,1388,22.64,-4.359999999999999,-0.43599999999999994,-0.16148148148148145,-0.18443316412859556
The Demon,10,1548.48,15484.8,607,12212.2,-3272.5999999999985,-297.5090909090908,-0.21134273610250043,-0.26795598205220567
The Risk,3,4.0,12.0,1770,5.0,-7.0,-1.75,-0.5833333333333334,-1.1666666666666667
Etched in Blood,9,35.0,315.0,1060,130.0,-185.0,-18.5,-0.5873015873015873,-1.4122137404580153
The Scavenger,8,1.0,8.0,223,2.92,-5.08,-0.5644444444444444,-0.635,-1.2959183673469388
Mawr Blaidd,16,10.0,160.0,25626,40.0,-120.0,-7.0588235294117645,-0.75,-2.926829268292683
Pride Before the Fall,8,16.0,128.0,703,30.26,-97.74,-10.86,-0.76359375,-3.1266794625719765
The Oath,6,1.0,6.0,397,1.0,-5.0,-0.7142857142857143,-0.8333333333333334,-2.5
The Visionary,6,1.0,6.0,760,1.0,-5.0,-0.7142857142857143,-0.8333333333333334,-2.5
The Army of Blood,6,1.0,6.0,2260,1.0,-5.0,-0.7142857142857143,-0.8333333333333334,-2.5
Rats,8,1.0,8.0,1016,1.0,-7.0,-0.7777777777777778,-0.875,-3.5
The Fathomless Depths,8,1.0,8.0,4765,1.0,-7.0,-0.7777777777777778,-0.875,-3.5
The Samurai's Eye,3,209.72,629.16,2302,70.18,-558.98,-139.745,-0.8884544471994406,-7.853048609159876
Seven Years Bad Luck,13,174.77,2272.01,81,0,-2272.01,-162.2864285714286,-1.0,-2272.01
