name,stackSize,chaosValue,totalCost,rewardID,totalRevenue,profit,profitPerTrade,% ROI,profitMargin
Rebirth,27,4.0,108.0,2594,347.68,239.68,8.56,2.2192592592592595,0.6873924515314902
Burning Blood,6,5.0,30.0,1993,78.88,48.879999999999995,6.982857142857142,1.629333333333333,0.6119178768152228
The Professor,4,7.0,28.0,25380,65.51,37.510000000000005,7.502000000000001,1.3396428571428574,0.5639753420538265
The Life Thief,6,8.0,48.0,7070,98.66,50.66,7.237142857142857,1.0554166666666667,0.5083283162753361
The King's Heart,8,2.0,16.0,703,30.0,14.0,1.5555555555555556,0.875,0.45161290322580644
Nook's Crown,4,72.0,288.0,18473,520.56,232.55999999999995,46.511999999999986,0.8074999999999998,0.4458930899608865
The Betrayal,9,2.0,18.0,783,30.0,12.0,1.2,0.6666666666666666,0.3870967741935484
Buried Treasure,3,4.0,12.0,18977,19.0,7.0,1.75,0.5833333333333334,0.35
The Wolven King's Bite,8,10.31,82.48,1060,130.0,47.519999999999996,5.279999999999999,0.5761396702230843,0.3627480916030534
The Mayor,5,22.0,110.0,23250,159.73,49.72999999999999,8.288333333333332,0.452090909090909,0.3094008585827163
The Queen,16,40.0,640.0,119,873.3,233.29999999999995,13.723529411764703,0.3645312499999999,0.2668420450646231
The Artist,11,8.0,88.0,2695,119.76,31.760000000000005,2.646666666666667,0.36090909090909096,0.26300099370652535
The Polymath,3,11.0,33.0,113,44.26,11.259999999999998,2.8149999999999995,0.34121212121212113,0.24878479893946087
The Iron Bard,9,208.08,1872.72,1711,2266.67,393.95000000000005,39.395,0.210362467427058,0.17372457191743068
Immortal Resolve,6,77.0,462.0,518,559.1,97.10000000000002,13.871428571428575,0.21017316017316023,0.1733618996607749
The World Eater,8,18.0,144.0,1360,173.84,29.840000000000003,3.315555555555556,0.20722222222222225,0.17067032715625716
The Damned,6,85.0,510.0,7020,611.31,101.30999999999995,14.472857142857135,0.19864705882352932,0.16545540657510077
The Dragon's Heart,11,67.75,745.25,2926,873.3,128.04999999999995,10.670833333333329,0.1718215363971821,0.14646002516298748
The Landing,5,14.61,73.05,2245,85.0,11.950000000000003,1.9916666666666671,0.1635865845311431,0.13895348837209306
Hunter's Reward,3,55.0,165.0,1628,187.52,22.52000000000001,5.630000000000003,0.13648484848484854,0.11945682155739448
Beauty Through Death,5,401.86,2009.3000000000002,4973,2271.36,262.05999999999995,43.676666666666655,0.13042353058279,0.11532503652590255
Wealth and Power,11,76.0,836.0,2616,943.16,107.15999999999997,8.929999999999998,0.12818181818181815,0.11349771225216063
The Soul,9,22.0,198.0,1335,219.87,21.870000000000005,2.1870000000000003,0.11045454545454547,0.09901752161905195
The Enlightened,6,19.0,114.0,3023,125.0,11.0,1.5714285714285714,0.09649122807017543,0.0873015873015873
Pride of the First Ones,7,174.72,1223.04,4949,1327.42,104.38000000000011,13.047500000000014,0.08534471480900062,0.07857454720645586
The Nurse,8,174.72,1397.76,1476,1457.57,59.809999999999945,6.64555555555555,0.04278989239926736,0.041005916754081016
The Fiend,11,1048.32,11531.519999999999,607,11932.9,401.380000000001,33.448333333333416,0.03480720668220678,0.03363359840454512
The Immortal,10,524.16,5241.599999999999,636,5379.12,137.52000000000044,12.501818181818221,0.026236263736263823,0.025560768161305033
The Doctor,8,1485.12,11880.96,607,11932.9,51.94000000000051,5.771111111111168,0.004371700603318294,0.004352307292670503
The Spark and the Flame,2,70.0,140.0,155,140.0,0.0,0.0,0.0,0.0
Humility,9,3.0,27.0,1388,23.0,-4.0,-0.4,-0.14814814814814814,-0.16666666666666666
The Demon,10,1548.65,15486.5,607,11932.9,-3553.6000000000004,-323.05454545454546,-0.2294643721951377,-0.29777356941150845
The Risk,3,4.0,12.0,1770,6.98,-5.02,-1.255,-0.4183333333333333,-0.6290726817042606
Etched in Blood,9,35.0,315.0,1060,130.0,-185.0,-18.5,-0.5873015873015873,-1.4122137404580153
The Scavenger,8,1.0,8.0,223,2.79,-5.21,-0.5788888888888889,-0.65125,-1.3746701846965699
Mawr Blaidd,16,10.0,160.0,25626,40.0,-120.0,-7.0588235294117645,-0.75,-2.926829268292683
Pride Before the Fall,8,16.0,128.0,703,30.0,-98.0,-10.88888888888889,-0.765625,-3.161290322580645
The Oath,6,1.0,6.0,397,1.0,-5.0,-0.7142857142857143,-0.8333333333333334,-2.5
The Visionary,6,1.0,6.0,760,1.0,-5.0,-0.7142857142857143,-0.8333333333333334,-2.5
The Army of Blood,6,1.0,6.0,2260,1.0,-5.0,-0.7142857142857143,-0.8333333333333334,-2.5
Rats,8,1.0,8.0,1016,1.0,-7.0,-0.7777777777777778,-0.875,-3.5
The Fathomless Depths,8,1.0,8.0,4765,1.0,-7.0,-0.7777777777777778,-0.875,-3.5
The Samurai's Eye,3,209.66,628.98,2302,50.0,-578.98,-144.745,-0.9205062164138764,-11.352549019607844
Seven Years Bad Luck,13,174.72,2271.36,81,0,-2271.36,-162.24,-1.0,-2271.36
